Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008/12/1,Albury,13.4,22.9,0.6,,,W,44,W,WNW,20,24,71,22,1007.7,1007.1,8,,16.9,21.8,No,0,0
2008/12/2,Albury,7.4,25.1,0,,,WNW,44,NNW,WSW,4,22,44,25,1010.6,1007.8,,,17.2,24.3,No,0,0
2008/12/3,Albury,12.9,25.7,0,,,WSW,46,W,WSW,19,26,38,30,1007.6,1008.7,,2,21,23.2,No,0,0
2008/12/4,Albury,9.2,28,0,,,NE,24,SE,E,11,9,45,16,1017.6,1012.8,,,18.1,26.5,No,1,0
2008/12/5,Albury,17.5,32.3,1,,,W,41,ENE,NW,7,20,82,33,1010.8,1006,7,8,17.8,29.7,No,0.2,0
2008/12/6,Albury,14.6,29.7,0.2,,,WNW,56,W,W,19,24,55,23,1009.2,1005.4,,,20.6,28.9,No,0,0
2008/12/7,Albury,14.3,25,0,,,W,50,SW,W,20,24,49,19,1009.6,1008.2,1,,18.1,24.6,No,0,0
2008/12/8,Albury,7.7,26.7,0,,,W,35,SSE,W,6,17,48,19,1013.4,1010.1,,,16.3,25.5,No,0,0
2008/12/9,Albury,9.7,31.9,0,,,NNW,80,SE,NW,7,28,42,9,1008.9,1003.6,,,18.3,30.2,No,1.4,1
2008/12/10,Albury,13.1,30.1,1.4,,,W,28,S,SSE,15,11,58,27,1007,1005.7,,,20.1,28.2,Yes,0,0
2008/12/11,Albury,13.4,30.4,0,,,N,30,SSE,ESE,17,6,48,22,1011.8,1008.7,,,20.4,28.8,No,2.2,1
2008/12/12,Albury,15.9,21.7,2.2,,,NNE,31,NE,ENE,15,13,89,91,1010.5,1004.2,8,8,15.9,17,Yes,15.6,1
2008/12/13,Albury,15.9,18.6,15.6,,,W,61,NNW,NNW,28,28,76,93,994.3,993,8,8,17.4,15.8,Yes,3.6,1
2008/12/14,Albury,12.6,21,3.6,,,SW,44,W,SSW,24,20,65,43,1001.2,1001.8,,7,15.8,19.8,Yes,0,0
2008/12/16,Albury,9.8,27.7,,,,WNW,50,,WNW,,22,50,28,1013.4,1010.3,0,,17.3,26.2,,0,0
2008/12/17,Albury,14.1,20.9,0,,,ENE,22,SSW,E,11,9,69,82,1012.2,1010.4,8,1,17.2,18.1,No,16.8,1
2008/12/18,Albury,13.5,22.9,16.8,,,W,63,N,WNW,6,20,80,65,1005.8,1002.2,8,1,18,21.5,Yes,10.6,1
2008/12/19,Albury,11.2,22.5,10.6,,,SSE,43,WSW,SW,24,17,47,32,1009.4,1009.7,,2,15.5,21,Yes,0,0
2008/12/20,Albury,9.8,25.6,0,,,SSE,26,SE,NNW,17,6,45,26,1019.2,1017.1,,,15.8,23.2,No,0,0
2008/12/21,Albury,11.5,29.3,0,,,S,24,SE,SE,9,9,56,28,1019.3,1014.8,,,19.1,27.3,No,0,0
2008/12/22,Albury,17.1,33,0,,,NE,43,NE,N,17,22,38,28,1013.6,1008.1,,1,24.5,31.6,No,0,0
2008/12/23,Albury,20.5,31.8,0,,,WNW,41,W,W,19,20,54,24,1007.8,1005.7,,,23.8,30.8,No,0,0
2008/12/24,Albury,15.3,30.9,0,,,N,33,ESE,NW,6,13,55,23,1011,1008.2,5,,20.9,29,No,0,0
2008/12/25,Albury,12.6,32.4,0,,,W,43,E,W,4,19,49,17,1012.9,1010.1,,,21.5,31.2,No,0,0
2008/12/26,Albury,16.2,33.9,0,,,WSW,35,SE,WSW,9,13,45,19,1010.9,1007.6,,1,23.2,33,No,0,0
2008/12/27,Albury,16.9,33,0,,,WSW,57,,W,0,26,41,28,1006.8,1003.6,,1,26.6,31.2,No,0,0
2008/12/28,Albury,20.1,32.7,0,,,WNW,48,N,WNW,13,30,56,15,1005.2,1001.7,,,24.6,32.1,No,0,0
2008/12/29,Albury,19.7,27.2,0,,,WNW,46,NW,WSW,19,30,49,22,1004.8,1004.2,,,21.6,26.1,No,1.2,1
2008/12/30,Albury,12.5,24.2,1.2,,,WNW,50,WSW,SW,11,22,78,70,1005.6,1003.4,8,8,12.5,18.2,Yes,0.8,0
2008/12/31,Albury,12,24.4,0.8,,,W,39,WNW,WNW,17,17,48,28,1006.1,1005.1,1,,16.9,22.7,No,0,0
2009/1/1,Albury,11.3,26.5,0,,,WNW,56,W,WNW,19,31,46,26,1004.5,1003.2,,,19.7,25.7,No,0,0
2009/1/2,Albury,9.6,23.9,0,,,W,41,WSW,SSW,19,11,44,22,1014.4,1013.1,,,14.9,22.1,No,0,0
2009/1/3,Albury,10.5,28.8,0,,,SSE,26,SSE,E,11,7,43,22,1018.7,1014.8,,,17.1,26.5,No,0,0
2009/1/4,Albury,12.3,34.6,0,,,WNW,37,SSE,NW,6,17,41,12,1015.1,1010.3,,,20.7,33.9,No,0,0
2009/1/5,Albury,12.9,35.8,0,,,WNW,41,ENE,NW,6,26,41,9,1012.6,1009.2,,,22.4,34.4,No,0,0
2009/1/6,Albury,13.7,37.9,0,,,W,52,SE,WNW,4,26,33,8,1010.9,1006.7,,,23.1,36.8,No,0,0
2009/1/7,Albury,16.1,38.9,0,,,W,57,E,W,6,30,34,12,1007,1002.7,,,25.2,38.4,No,0,0
2009/1/8,Albury,14,28.3,0,,,W,48,W,WSW,17,24,43,15,1011.9,1010.9,,,17.9,27.6,No,0,0
2009/1/9,Albury,12.5,28.4,0,,,NE,37,SSE,S,20,9,38,16,1017.8,1013.7,,,17.2,26.6,No,0,0
2009/1/10,Albury,17,30.8,0,,,NE,37,NNE,E,15,11,36,24,1013.4,1008.1,,,20.2,29.3,No,0,0
2009/1/11,Albury,16.9,32,0,,,S,31,SSE,N,13,17,52,31,1009.9,1006.8,,,22.8,30,No,0,0
2009/1/12,Albury,17.3,34.7,0,,,SW,35,SE,WSW,7,15,48,16,1014.1,1012.1,,,24.2,33.2,No,0,0
2009/1/13,Albury,17.2,37.7,0,,,NNW,35,SE,NW,7,17,51,19,1015.7,1010.9,,,24.3,35.7,No,0,0
2009/1/14,Albury,17.4,43,0,,,NW,39,SSE,SSW,7,17,40,8,1011.6,1006.9,,,25.6,41.5,No,0,0
2009/1/15,Albury,19.8,32.7,0,,,WNW,44,W,W,20,28,34,28,1008.4,1009.2,,,27.6,27.1,No,0,0
2009/1/16,Albury,14.9,26.7,0,,,SW,56,WSW,SW,20,31,46,20,1014.1,1012.7,,,18,25.5,No,0,0
2009/1/17,Albury,10.5,28.4,0,,,SE,33,SE,SW,19,11,35,16,1019.7,1017.4,,,16,25.8,No,0,0
2009/1/18,Albury,11.3,32.2,0,,,WNW,28,ENE,SSW,17,15,34,17,1019.7,1016.2,,,20.9,30.5,No,0,0
2009/1/19,Albury,13.9,36.6,0,,,WNW,39,SSE,NNE,2,15,39,10,1015.8,1010.6,,,22,34.4,No,0,0
2009/1/20,Albury,18.6,39.9,0,,,NNW,61,SSE,WNW,9,20,36,21,1010.1,1004.8,,,26.8,37.7,No,0.8,0
2009/1/21,Albury,19.3,38.1,0.8,,,NNW,61,NE,WSW,15,17,48,17,1009.6,1005.9,,,27.3,36.1,No,0.6,0
2009/1/22,Albury,24.4,34,0.6,,,NW,98,N,NNW,26,48,60,39,1005.3,997.8,4,1,26.1,33.1,No,6.4,1
2009/1/23,Albury,18.8,35.2,6.4,,,WNW,52,S,NW,6,28,43,28,1007.9,1003.9,,,22.8,33,Yes,0,0
2009/1/24,Albury,20.8,30.6,0,,,W,54,W,W,30,28,41,21,1005.4,1007.6,,,23.3,29.7,No,0,0
2009/1/25,Albury,14,34.3,0,,,WSW,24,ESE,SSE,7,13,44,10,1016.5,1014.6,,,21.2,32.1,No,0,0
2009/1/26,Albury,15.7,38.4,0,,,S,33,SSE,WSW,7,7,48,12,1017.7,1014.6,,,23.4,36.5,No,0,0
2009/1/27,Albury,18.5,38.2,0,,,NNE,31,SE,NNW,9,17,48,25,1017.8,1014.1,,,25.8,36.2,No,0,0
2009/1/28,Albury,20.4,40.7,0,,,N,37,E,NNE,7,13,45,15,1014.9,1011.6,,,28.2,39.2,No,0,0
2009/1/29,Albury,21.8,41.5,0,,,SW,24,ESE,S,6,11,38,13,1015.7,1011.8,,,29,40.1,No,0,0
2009/1/30,Albury,22.3,42.9,0,,,NNE,28,ESE,SE,9,11,37,11,1014.6,1010.2,,,29.2,41.2,No,0,0
2009/1/31,Albury,22,42.7,0,,,ESE,48,ESE,SW,4,4,33,11,1014.2,1010.5,,,29.9,42,No,0,0
2009/2/1,Albury,28,43.1,0,,,SW,83,SE,E,15,9,27,9,1012.5,1008.7,,,32.4,41.9,No,0.2,0
2009/2/2,Albury,24.4,38.3,0.2,,,SW,56,NE,NW,19,7,32,21,1011.7,1007.4,,,28.8,37.1,No,0,0
2009/2/3,Albury,21.5,37.7,0,,,,,N,,13,9,51,21,1009.2,1005.7,,,27.2,36.2,No,0,0
2009/2/4,Albury,21.7,36.9,0,,,,,,,11,11,53,26,1008.8,1004.7,,,25.5,35.2,No,0,0
2009/2/5,Albury,21.5,41.2,0,,,WSW,35,SSE,S,7,19,48,15,1005.9,1002.6,,,26.5,39.7,No,0,0
2009/2/6,Albury,23.5,42.2,0,,,W,37,SE,W,6,15,39,8,1008,1005,,,28.7,41.6,No,0,0
2009/2/7,Albury,22.3,44.8,0,,,NNW,59,SE,NW,9,33,36,11,1008.2,1003.8,,,29.6,43.4,No,0,0
2009/2/8,Albury,28.3,40.2,0,,,NW,52,N,W,9,22,20,19,1007,1006.5,,5,34.5,38.5,No,0.4,0
2009/2/9,Albury,18.4,31.2,0.4,,,SE,37,SW,WSW,7,11,66,31,1009.3,1007.8,7,8,18.7,29.4,No,0,0
2009/2/10,Albury,14.9,27.3,0,,,SSE,41,SSE,SE,20,13,50,30,1011.6,1008.5,,1,17.4,25.8,No,0,0
2009/2/11,Albury,13.5,26.7,0,,,SSE,46,SSE,E,19,11,45,24,1012.8,1011.1,,,16.7,24.9,No,0,0
2009/2/12,Albury,16.1,21.6,0,,,SE,46,SSE,NE,11,15,58,69,1017,1017.3,2,8,17,17.3,No,3,1
2009/2/13,Albury,14.6,29,3,,,SSE,41,SE,SSE,26,24,41,21,1023.3,1019.7,,,18,27.6,Yes,0,0
2009/2/14,Albury,12.4,29.2,0,,,NE,39,S,,7,0,37,18,1022.5,1016.4,,,18.3,28.5,No,0,0
2009/2/15,Albury,13.3,31.3,0,,,NNE,41,SSE,SSW,7,15,50,23,1016.2,1012.8,,,19.2,29.2,No,0,0
2009/2/16,Albury,17.2,31.1,0,,,E,35,SE,ESE,17,11,43,22,1017.7,1013.8,,,21.4,29.5,No,0,0
2009/2/17,Albury,12.5,28.8,0,,,N,31,SSE,ENE,7,11,46,17,1017.2,1013.5,,,18,27,No,0,0
2009/2/18,Albury,18,32,0,,,NW,31,ENE,SW,4,13,44,22,1012.4,1007.5,,,22.1,30.7,No,0,0
2009/2/19,Albury,16.2,34,0,,,WSW,48,SE,WSW,4,22,53,16,1007.8,1004.5,,,21,32.7,No,0,0
2009/2/20,Albury,18.7,29.1,0,,,SSW,41,NNW,SSE,7,17,45,39,1010.1,1010.8,,,21.5,26.8,No,0,0
2009/2/21,Albury,13.7,31.7,0,,,SSE,28,SSE,S,2,9,63,19,1012.5,1010.4,,,19.3,29.8,No,0,0
2009/2/22,Albury,15.5,33.2,0,,,NW,31,S,WNW,11,15,49,23,1015.6,1012.4,,,20.9,31.3,No,0,0
2009/2/23,Albury,14.3,34,0,,,NW,70,SE,NW,6,22,48,10,1013,1009.2,,,20.7,33.4,No,0,0
2009/2/24,Albury,12.9,29.6,0,,,WNW,46,SW,WNW,7,24,54,14,1014,1012.7,6,7,18.7,28.6,No,0,0
2009/2/25,Albury,8.9,31.9,0,,,WNW,43,,WSW,0,17,49,16,1016.6,1013.4,7,7,15,29.3,No,0,0
2009/2/26,Albury,15,32.7,0,,,ESE,26,ESE,S,15,2,43,19,1017.8,1015,,,20.7,30.5,No,0,0
2009/2/27,Albury,15.4,32.6,0,,,W,24,,S,0,6,53,25,1016.2,1012.6,,,20,30.8,No,0,0
2009/2/28,Albury,16,34.5,0,,,WSW,44,E,,6,,44,14,1007.5,1004.6,,,22.2,33.6,No,0,0
